Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
MON - EVE, 3/23/2020, 536, 2053, 11024, 15 16 20 26 32 42 $11.20 M/0, 832005, 5 19 30 31 36 $120000.00, , ,1 30 31 46 48 +80
TUE - MID, 3/24/2020, 115, 4929, 86245, , , , , ,
TUE - EVE, 3/24/2020, 378, 5198, 95955, , , 9 17 18 22 24 $130000.00, 2 8 16 18 31 +14 x2 $101.00 M/0, ,
WED - MID, 3/25/2020, 077, 8072, 02451, , , , , ,
WED - EVE, 3/25/2020, 198, 1064, 94718, 6 7 30 32 38 44 $11.30 M/0, 206460, 2 11 16 24 31 $140000.00, , 5 9 27 39 42 +16 x2 $150.00 M/0,
THU - MID, 3/26/2020, 153, 7519, 69863, , , , , ,
THU - EVE, 3/26/2020, 305, 5388, 53485, , , 3 6 7 24 38 $150000.00, , ,7 8 10 30 41 +130
FRI - MID, 3/27/2020, 805, 5057, 59190, , , , , ,
FRI - EVE, 3/27/2020, 335, 1596, 47736, , , 8 18 22 24 35 $163000.00, 3 25 28 50 60 +1 x4 $107.00 M/0, ,
SAT - MID, 3/28/2020, 711, 9414, 82566, , , , , ,
SAT - EVE, 3/28/2020, 012, 8980, 09578, 7 18 19 23 31 36 $11.40 M/0, 212649, 3 11 22 28 32 $201000.00, , 7 40 48 55 66 +11 x2 $160.00 M/0,
SUN - MID, 3/29/2020, 892, 9021, 60403, , , , , ,
SUN - EVE, 3/29/2020, 394, 7844, 30899, , , 4 7 15 17 39 $237000.00, , ,
MON - MID, 3/30/2020, 768, 0030, 75922, , , , , ,
MON - EVE, 3/30/2020, 533, 1380, 20126, 1 29 39 43 46 47 $11.50 M/0, 975513, 1 2 4 25 38 $276000.00, , ,2 22 29 36 40 +180
TUE - MID, 3/31/2020, 209, 2285, 40960, , , , , ,
TUE - EVE, 3/31/2020, 404, 1088, 70375, , , 15 24 25 35 38 $100000.00, 8 17 51 57 70 +2 x4 $113.00 M/0, ,
WED - MID, 4/1/2020, 278, 7268, 66041, , , , , ,
WED - EVE, 4/1/2020, 629, 9404, 00957, 6 20 32 39 43 44 $11.60 M/0, 140866, 1 4 22 31 33 $110000.00, , 33 35 45 48 60 +16 x2 $170.00 M/0,
THU - MID, 4/2/2020, 459, 1190, 80747, , , , , ,
THU - EVE, 4/2/2020, 274, 9228, 45469, , , 13 28 30 31 33 $120000.00, , ,2 4 23 31 48 +50
FRI - MID, 4/3/2020, 909, 8611, 26589, , , , , ,
FRI - EVE, 4/3/2020, 043, 0888, 62944, , , 11 18 26 32 35 $130000.00, 24 38 44 57 58 +17 x4 $121.00 M/0, ,
SAT - MID, 4/4/2020, 230, 5255, 21836, , , , , ,
SAT - EVE, 4/4/2020, 023, 7266, 31235, 11 14 27 32 42 47 $11.70 M/0, 121235, 1 16 22 23 29 $100000.00, , 8 31 39 40 43 +4 x3 $180.00 M/0,
SUN - MID, 4/5/2020, 618, 4586, 89451, , , , , ,
SUN - EVE, 4/5/2020, 803, 1864, 37618, , , 1 14 15 37 39 $110000.00, , ,
MON - MID, 4/6/2020, 063, 6304, 91747, , , , , ,
MON - EVE, 4/6/2020, 768, 8758, 36163, 6 7 18 21 32 38 $11.80 M/0, 044577, 3 23 24 31 37 $120000.00, , ,2 25 26 30 37 +80
TUE - MID, 4/7/2020, 118, 4874, 36361, , , , , ,
TUE - EVE, 4/7/2020, 126, 7068, 15653, , , 13 19 22 30 33 $130000.00, 25 33 43 51 68 +20 x2 $127.00 M/0, ,
WED - MID, 4/8/2020, 534, 4016, 23467, , , , , ,
WED - EVE, 4/8/2020, 919, 4477, 40757, 3 8 22 27 40 45 $11.90 M/0, 151089, 14 25 29 37 39 $140000.00, , 2 37 39 48 54 +5 x3 $190.00 M/1,
THU - MID, 4/9/2020, 877, 5411, 86673, , , , , ,
THU - EVE, 4/9/2020, 243, 2529, 09067, , , 18 23 26 36 37 $154000.00, , ,6 16 23 27 48 +100
FRI - MID, 4/10/2020, 762, 3673, 40695, , , , , ,
FRI - EVE, 4/10/2020, 755, 4697, 90783, , , 6 12 14 17 20 $191000.00, 2 11 21 57 60 +13 x2 $136.00 M/0, ,
SAT - MID, 4/11/2020, 820, 4276, 40056, , , , , ,
SAT - EVE, 4/11/2020, 517, 6580, 89937, 4 19 24 31 39 47 $12.00 M/0, 362088, 4 8 22 26 32 $100000.00, , 22 29 30 42 47 +17 x3 $20.00 M/0,
SUN - MID, 4/12/2020, 841, 3362, 77210, , , , , ,
SUN - EVE, 4/12/2020, 628, 9735, 26809, , , 1 4 5 9 38 $110000.00, , ,
MON - MID, 4/13/2020, 772, 0441, 21505, , , , , ,
